Sinhala,Tamil,Class
කන්චූරාම්නොඩාල්,காஞ்சோரமனோட்டல்,Tamil
අයියනාර් කෝවිලඩි,ஐயனார்கோவிலடி,Tamil
සින්නසිප්පිකුලම්,சின்னச்சிப்பி குளம்,Tamil
වංකාලෛ කලාප අංක 05,வங்காலை வட்டாரம் 5,Tamil
තම්බිරාසපුරම්,தம்பிராஸபுரம்,Tamil
නිවාස සංකීර්ණය,3 ஏக்கர் திட்டம்,Tamil
කන්දසාමි නගර්,கந்தசாமி நகர்,Tamil
ආලංකේණි,ஆலங்கேணி,Tamil
අඩම්පන් සෝලෛ,அடம்பன் சோலை,Tamil
කෝවිල්කුඩියිරුප්පු,கோவில் குடியிருப்பு,Tamil
තේවරන්,தேவரன்,Tamil
තෝමෙයාර්,தோமையார்,Tamil
නවාලි දකුණ,நவாலி தெற்கு,Tamil
වාන්තෝඩ්ඩම්,வான்தோட்டம்,Tamil
පෙරිය තනක්කන් කුලම්,பெரிய தனக்கன்குளம்,Tamil
පුලියන්කුලම්,புலியங்குளம்,Tamil
කාඩියාවළෙයි,காடிவளை,Tamil
කලවත්තුරෙයි,கலவத்துரை,Tamil
අලම්පිල් මධ්ය,அளம்பில் மத்தி,Tamil
නීංකුවිල්,நீங்குவில்,Tamil
වේලන්සීමා,வேலன் சீமா,Tamil
කොව්වන්කුලම්,கோவ்வங்குளம்,Tamil
උසන් බටහිර,உசன் மேற்கு,Tamil
සවුත් බාර්,சவுத்பார்,Tamil
උක්කුලාංකුළම්,உக்குளாங்குளம்,Tamil
කුඩියිරුප්පු,குடியிருப்பு,Tamil
සාමියන් අරසඩි අතුළු,சாமியன் அரசடி அத்துளு,Tamil
තිරුවෛයාරු බස්නාහිර,திருவையாறு மேற்கு,Tamil
තේවරෙයාළි,தேவரையாளி,Tamil
කෝළියාකුළම්,கோழியாகுளம்,Tamil
වේරක්කේණි,வேரக்கேணி,Tamil
පුලියා කුලම්,புலியந்குளம்,Tamil
කරුන්කාලිත්තාල්වු,கருங்காலித்தாழ்வு,Tamil
ග්රෑන්ඩ් බසාර්,பெரியகடை,Tamil
වීමන්කෝඩෙයි,வீராங்கொடை,Tamil
ඉලන්තන්කුලම්,இலந்தைக்குளம்,Tamil
පුදුක්කිරාමම්,புதுக்கிராமம்,Tamil
ඊච්චම්පිලවු,ஈச்சம்பிலவு,Tamil
කට්කුලම්,கற்குளம்,Tamil
තරණික්කුළම්,தரணிக்குளம்,Tamil
සිල්ලාලෙයි උතුර,சில்லாலை வடக்கு,Tamil
සුතන්තිරපුරම්,சுதந்திரபுரம்,Tamil
සෙම්පාඩු,செம்பாடு,Tamil
සින්නතම්පනයි,சின்னத்தம்பனை,Tamil
මණල්තෙරු,மணல்தெரு,Tamil
වෙල්ලන්,வெல்லன்,Tamil
මුප්පෛයන්කුලම්,மூப்பையன் குளம்,Tamil
මනක්කුලම්,மணற்குளம்,Tamil
ඌට්ටංකරෛ,ஊற்றங்கரை,Tamil
විල්ලියන් කුලම්,வில்லியன்குளம்,Tamil
මාණික්කප්පිල්ලෛයාර් කෝවිලඩි,மாணிக்கப்பிள்ளையார் கோவிலடி,Tamil
කාක්කෛයන්මෝඩ්ඩෛ,காக்கையன்மோட்டை,Tamil
ජෙයන්තිකගර්,ஆ.டி.எஸ். வீதி,Tamil
මාවිඩ්ඩපුරම්,மாவிட்டபுரம் தெற்கு,Tamil
මරුදඩිවෙලි,மருதடிவெளி,Tamil
ඩී 10 - 1,டி 10 - 1,Tamil
සෙල්වාපුරම්,செல்வாபுரம்,Tamil
කුම්පකර්ණන්මලෛ,கும்பகர்ணன்மூலை,Tamil
මූර් වීදිය උතුර කොටස,சோனகதெரு வடக்கு பகுதி,Tamil
මුරියාක්කුලම්,முறியாக்குளம்,Tamil
කොණ්ඩාවිල් ගිනිකොණ,கோண்டாவில் தென் கிழக்கு,Tamil
පාලම්පීඩිඩී,பாலம்பட்டி,Tamil
සදාවාන්කුලාම්,சடவங்குளம்,Tamil
පුතුක්කුලම්,பதுக்குளம்,Tamil
නිත්තියවෙඩ්ඩෙයි,நித்தியாவெட்டை,Tamil
පරිහාරි මඩු,பரிகாரிமடு,Tamil
සෙල්වපුරාම් උතුර,செல்வபுரம் வடக்கு,Tamil
තාවලෙයි ඉයට්රාලෙයි වරණි,தாவளை இயற்றாலை வரணி,Tamil
වණ්ණාන්කේනි දකුණ,வண்ணாங்கேணி தெற்கு,Tamil
යාපනය පාර,யாழ் வீதி,Tamil
කංකසන්තුරේයි දකුණ,காங்கேசன்துறை தெற்கு,Tamil
පෙරිය මඩු ( අලුත් පදිංචිකරවීම ),பெரிய மடு (புதிய கோளனி),Tamil
මලෛයාලපුරම් දකුණ,மலையாளபுரம் தெற்கு,Tamil
කරම්පෛක්කුලම්,கரம்பைக்குளம்,Tamil
මුල්ලිවයල්,முள்ளிவயல்,Tamil
මුරුන්කෛයඩීක් කුලම්,முருங்கையடிக்குளம்,Tamil
කුණුවායි,குணுவாய்,Tamil
ඉන්දුපුරම්,இந்துபுரம்,Tamil
රාජ පාර කොටස,இராஜவீதி,Tamil
සෙල්වපුරම්,செல்வபுரம்,Tamil
කොම්පුවෛත්තකුළම්,கொம்புவைத்தகுளம்,Tamil
තල්ලඩි,தள்ளாடி,Tamil
අංකලපායි,அங்களப்பாய்,Tamil
තිරුනගර් උතුර,திருநகர் வடக்கு,Tamil
මුරසුමෝට්ටෙයි 4 කණුව,முரசுமோட்டை1ம்யூனிற்,Tamil
කණ්ණාපුරම්,கண்ணாபுரம்,Tamil
කුරංචාදීවු,குறிஞ்சாத்தீவு,Tamil
නීරාවිපුරම්,நீராவிபுரம்,Tamil
කයන්තප්පෙයි,கயந்தப்பை,Tamil
පරප්පුකඩන්තාන් බටහිර,பரப்புகடந்தான் மேற்கு,Tamil
පණ්ඩාරවේලි,பண்டாரவெளி,Tamil
උපයකදිර්කාමම්,உபயகதிர்காமம்,Tamil
ඔඩ්ඩන්කඩ්ඩුක්කුලම්,ஒட்டன்கட்டுக்குளம்,Tamil
උරුම්පිරායි දකුණ කොටස,கல்லூரி வீதி,Tamil
කප්පණ්ඩා,கப்பந்த,Tamil
අම්මෛයාර්මෝට්ටෛ,அம்மையார்மோட்டை,Tamil
නේරියකුලම්,நேரியகுளம்,Tamil
ඉලන්තෛන්කුලම්,இலந்தைக்குளம்,Tamil
පෙරියකඩ්ඩු,பெரியகட்டு,Tamil
කෝඩ්ඩෙයිකාඩු,கோட்டைக்காடு,Tamil
කාත්තාන් කුලම්,காத்தான்குளம்,Tamil
වළම්පුරම්,வளம்புரம்,Tamil
13 වන යුනිට,13 வது அலகு,Tamil
පණ්ඩත්තරිප්පු,பண்டத்தரிப்பு,Tamil
කලෙයිනගර්,கலை நகர்,Tamil
උවර් කුලම්,உவர்குளம்,Tamil
පනංකාමම්,பனங்காமம்,Tamil
ශ්රීනාරදා,சிரிநாரதா,Tamil
කරම්පෛක්කුලම්,கரம்பைக்குளம்,Tamil
වෙලික්කුඩිරුප්පු,வெளிக் குடியிருப்பு,Tamil
ජොනි කාරාමම්,ஜொனி குடியிருப்பு,Tamil
කොඩිකාමම්,கொடிகாமம்,Tamil
මණ්ඩුවිල්,கெருடாவில் வடக்கு,Tamil
කීලි සඳෙයඩි,கீளிச்சந்தையடி,Tamil
කරෙයාපෙරුමාල්කුලම්,கலயபெருமால் குளம்,Tamil
ඌරිකාඩු,ஊரிக்காடு,Tamil
තෝඩ්ඩක්කාඩු,தோட்டக்காடு,Tamil
තන්ගපුරම්,தங்கபுரம்,Tamil
කරිතාස්කුඩියිරුප්පු,கரிதாஸ் குடியிருப்பு,Tamil
සෙනායිපිලාව්,சேனைப்பிளவு,Tamil
මරෛයඩිත්තකුළම්,மரையடித்தகுளம்,Tamil
සුරියවේළි,சூரியவௌி,Tamil
පන්නමුලෙයි කොටසක්,பன்னமூலயின் ஒரு பிரிவு,Tamil
පෙරුත්දෙරු,பெருந்தெரு,Tamil
අතියඩි,அத்தியடி,Tamil
කුන්චුක්කුලම්,குஞ்சுக்குளம்,Tamil
ඕමන්තෛ,ஓமந்தை,Tamil
මරුදංකුලම්,மரதன்குளம்,Tamil
සීදුවිනායකර්කුලම්,சேதுவினாயகர்குளம்,Tamil
කොඩික්කඩ්ඩු,கொடிக்கட்டு,Tamil
කෙල්කාඩු,கெல்காடு,Tamil
සෙල්ලියාතීවු,செல்லியாதீவு,Tamil
පත්තිනාදපුරම්,பத்திநாதபுரம்,Tamil
රාමනාදපුරම්,இராமநாதபுரம்,Tamil
මේජලු,மாயெழு,Tamil
චුලිපුරම් මධ්යම,சூலைபுரம் மத்தி,Tamil
වත්තිරායන් උතුර,வத்திராயன் வடக்கு,Tamil
සමයපුරම්,சமயபுரம்,Tamil
චෙක්කඩී කුලම්,செக்கடிகுளம்,Tamil
දාවලම්,தாவளம்,Tamil
කුමාංකුළම්,கூமாங்குளம்,Tamil
අරසඩි වීදිය,அரசடி வீதி,Tamil
කදිරවේලර්පුවරසංකුළම්,கதிரவேலர்பூவரசங்குளம்,Tamil
පන්රිසුට්ටාන්,பன்றிசுட்டான்,Tamil
කණුක්කේණි නැගෙනහිර,கனுக்கேணி கிழக்கு,Tamil
පණ්ණාගම්,பன்னாகம்,Tamil
සින්නක්කඩෛ,சின்னக்கடை,Tamil
සංකිලියන් තෝප්පු,சங்கிலியந்தோப்பு,Tamil
නාගතාල්වු,நாகதாழ்வு,Tamil
වනට්ඩුවාන්,வட்டுவான்,Tamil
සිරු සෙම්මණි,சிறு செம்மணி,Tamil
11 වන යුනිට,11 வது அலகு,Tamil
පෙරියමාතවඩි,பெரியமதவடி,Tamil
තම්පාට්ටි,தம்பட்டி,Tamil
කොලුන්දුපුලවු,கொழுந்துபூகாவு,Tamil
කෝවිල්පුදුක්කුළම්,கோவில்ப்புதுக்குளம்,Tamil
මීරාක්කප්පණ්ණෛ / පරුත්තිපණ්ණෛ,மிராக்கப்பண்ணை,Tamil
4 වැනි ඇළ,பெரிய பரந்தன்,Tamil
කොන්ඩෛමඩු,கொண்டைமடு,Tamil
නඩවන්තාල්වු,நடவன் தாழ்வு,Tamil
ග්රාම සංවර්ධන ක්රමය,குடியிருப்பு,Tamil
මානාවලෙයි,மானாவளை,Tamil
පෙරිය පරන්දන් ඩි- 05,பெரியபரந்தன் டி - 5 வீதி,Tamil
සක්කෝඩ්ඩෙයි,சக்கோட்டை,Tamil
ඊච්චංකුළම්,ஈச்சங்குளம்,Tamil
ඉරසායනපුරම්,இரசாயணபுரம்,Tamil
කරුකම්පනෙයි,கருகம்பானை,Tamil
වීරපුරම්,வீரபுரம்,Tamil
තෙරුවාරම්,பழையவாய்க்கால்,Tamil
මාමුනෛයි,மாமுனை,Tamil
පාවට්කුලම් යුනිට් - 10,பாவற்குளம் படிவம் 10,Tamil
මාණ්ඩකුලම්,மாண்டபுரம்,Tamil
අයියන් කෝවිල් ගම්මානය,ஐயன் கோவில் கிராமம்,Tamil
අරියාලෙයි නැගෙනහිර (කොටස ),அரியாலை கிழக்கு (பிரிவு),Tamil
කඩුකායි නගර්,கடுக்காய் நகா்,Tamil
පේරුවේලී,பெருவேளி,Tamil
05 හවුසිං ස්කීම්,05 வீட்டுத்திட்டம்,Tamil
නවපූරම්,நவபுரம்,Tamil
"තේවිපුරම් ""අ""",தேவிபுரம் அ- பகுதி,Tamil
මාලිකෛවයල්,மாளிகைவயல்,Tamil
වංකාලෛ කලාප අංක 06,வங்காலை வட்டாரம் 6,Tamil
අච්චෙළු,அச்செழு,Tamil
මාන්නාචච්චි,மன்னாசாச்சி மணல்,Tamil
ඉලන්නෛමෝඩ්ඩෛක්කුලම්,நொச்சிகுளம்,Tamil
පෙරියපුලියාලන්කුලම්,பெரிய புளியாலங்குளம்,Tamil
වෛරවශාන්තිකුලම,வைரவபுலியான்குளம்,Tamil
පීලික්කුලම්,பீலிக்குளம்,Tamil
ඩී 10 - ඒකක 02,டி 10.02 ம் பகுதி,Tamil
කුන්චුක්කුලම්,குஞ்சுக்குளம்,Tamil
කුමරන් කුළම්,குமரன் குளம்,Tamil
වල්ලියාප්පලෛ,வள்ளிபளை,Tamil
උඩුම්පු පිඩීච්චාන්වේලී,உடும்பு பிடிச்சான்வெளி,Tamil
පිළ්ළෙයාර් කොවිල්,பிள்ளையார் கோவில்,Tamil
කොක්කුවිල් ඊසාන,கொகுவில் வட கிழக்கு,Tamil
පුන්නාලෙයි කඩ්ඩුවන් උතුර,புன்னாலைகட்டுவன்வடக்கு,Tamil
කුමරේසන්කුලම්,குமேசன்குளம்,Tamil
මරුතනාර්මඩම්,மருதனார்மடம் ஒரு பிரிவு,Tamil
සන්කන්යන්කුලම්,சங்கன்ய ன்குளம்,Tamil
කෝණ්ඩාවිල් මැද නැගෙනහිර,கோண்டாவில்மத்தி கிழக்கு,Tamil
පොන්නාවෙළි,பொன்னாவெளி,Tamil
කාන්චුරමෝඩ්ඩෛ,காஞ்சுரமோட்டை,Tamil
පුතුක්කාඩු,புதுக்காடு,Tamil
මුඩමාවඩි,முடமாவடி,Tamil
අඩියාච්චිකුලම්,அடியாச்சிக்குளம்,Tamil
අම්පලවලයි,அம்பலாவளை,Tamil
සිරුකණ්ඩල් උතුර,சிறுகண்டல் வடக்கு,Tamil
පාන්රිමෝට්ටයි,பன்றிமோட்டை,Tamil
මරෛක්කුත්ති,மரைக்குத்தி,Tamil
සොර්ණපුරි,சொர்ணபுரி,Tamil
පාලන්වේලි,பாலன்வெளி,Tamil
4වැනි කණුව,4ம் கட்டை,Tamil
තීරුක්කේස්වරම්,திருக்கேதீஸ்வரம்,Tamil
මදීනා නගර්,மதீனாநகர்,Tamil
පොන්තීවුකණ්ඩල්,பொன்தீவுகண்டல்,Tamil
පාසිත්තෙන්රල්,பாசித்தென்றல்,Tamil
සමරබාහු,சமரபாகு,Tamil
වල්ලෙයි,வல்லாய்,Tamil
ඉරාසමඩු,இராசமடு,Tamil
මුල්ළිත්තිඩල්,முள்ளித்திடல்,Tamil
පාලිනගර්,பாலிநகர்,Tamil
පදිනෙඩ්ඩාම්පෝර්,பதினெட்டாம் போர்,Tamil
අන්නම්මාකුලම්,அன்னம்மாகுளம்,Tamil
අයිඳු වේම්පඩි,ஐந்துவேம்படி,Tamil
කරන්තායි,கரந்தாய,Tamil
පුත්තිරර්කණ්ඩාන්,புத்திரகண்டல்,Tamil
ස්මෝල් බසාර්,சின்னக்கடை,Tamil
කෝරමෝට්ටයි,கோனமொட்டை,Tamil
මහාරම්බෛක්කුළම්,மகாறம்பைக்குளம்,Tamil
පැරනි කොළනි,பழைய கொலனி,Tamil
කරම්පොන් බටහිර,கரம்பொன் மேற்கு,Tamil
පොක්කණෙයි,பொக்கனை,Tamil
මාවිඩ්ඩපුරම්,மாவிட்டபுரம்,Tamil
පණ්ඩකෙයි,பண்டகை,Tamil
මූක්කරායන් කුලම්,மூக்காரயன்குளம்,Tamil
අඩෛක්කලමෝඩ්ඩෛ,அடைக்கலமோட்டை,Tamil
කුම්පාවෙලි,கும்பாவெளி,Tamil
කීච්චුක්කුලම්,கீச்சுக்குளம்,Tamil
ඤානපාස්කරෝදය පාර,ஞானபாஸ்கரோதய வீதி,Tamil
ඉත්තිකුලම්,இத்திகுளம்,Tamil
පෙරිය ආඩ්කාඩ්ඩීවේලි,பெரிய ஆட்காட்டிவெளி,Tamil
කාළි කොවිල,காளிகோவில்,Tamil
කුඩත්තනෙයිනැගෙනහිර,குடத்தனை கிழக்கு,Tamil
සින්න කරිසල්,சின்னக்கரிசல்,Tamil
මාවිල්,மாவில்,Tamil
වණ්ණාන්තුරෙයි,வண்ணாதுறை,Tamil
පෙරිය තෝඩ්ඩම්,பெரிய தோட்டம்,Tamil
ඊරට්ටපෙරියකුලම,ஈரட்டைபெரியகுளம்,Tamil
කලඩ්ඩි,கலட்டி,Tamil
තයිලන් කඩවෙයි,தைலங்கடவை,Tamil
පෙරියකෝමරසන්කුළම්නිවාස සංකීර්ණය,பெரியகோமரசன்குளம்வீ .திட்டம்,Tamil
පුතුක්කාඩු,புதுக்காடு,Tamil
සුල්තාන්කමම්,சுள்த்தான்குளம்,Tamil
පාරදිපුරම් නිවාස සංකීර්ණය,பாரதிபுரம் வீ திட்ட்ம்,Tamil
ආනෛව්ලුන්තාන්,ஆனைவிழுந்தான்,Tamil
කල්මාදු,கல்மடு,Tamil
තුප්පාසි ආලන්කුලම්,துப்பாசி ஆலங்குளம்,Tamil
පයරික්කුලම්,பயறிக்குளம்,Tamil
තාමරෛක්කේණි,தாமரைக்கேணி,Tamil
ඉන්දිරාපුරම්,இந்திரபுரம்,Tamil
විළාත්තික්කුළම්,விளாத்திக்குளம்,Tamil
මානුරුවි,மானுருவி,Tamil
නඩඩාන්කණ්ඩල් නැගෙනහිර,நட்டான்கண்டல் கிழக்கு,Tamil
අලඩිකොල්ලාන්කුලාම්,ஆலடிகொல்லன் குளம்,Tamil
නවගම,நவகம,Tamil
උරුතිරාපුරම් බටහිර,உருத்திரபுரம் கிழக்கு,Tamil
පේසාලෛ කලාප අංක 02,பேசாலை வட்டாரம் இல.2,Tamil
සෙන්දිල් නගර්,செந்தில் நகர்,Tamil
තේරාවිල් නගරය,தேராவில்,Tamil
වාරිවණ්ණාන්කුලම්,வாரிவண்ணான்குளம்,Tamil
සෙම්පාඩු,செம்பாடு,Tamil
මරුදඩි,மருதடி,Tamil
කරඩිප්පුවල්,கரடிப்பூவல்,Tamil
වරුත්තොලෙයි කොටසක්,வருத்தோலை,Tamil
මරවන්පුලෝ නැගෙනහිර ( කොටසක් ),மறவன்புலவு கிழக்கு (பகுதி),Tamil
තලෙයිමන්නාරම කලාප අංක 04,தலை மன்னார் வட்டாரம் இல 4,Tamil
මාමඩුව ධීවර ගම්මානය,மாமடுவ மீனவர் கிராமம்,Tamil
යමරුත්තකුලම්,யமறுத்தகுளம்,Tamil
කට්ටයි කාටු ඒකකය,கட்டைக்காடு அலகு,Tamil
සත්තියපුරම්,சத்தியபுரம்,Tamil
මැනික්ෆාම්,மெணிக் பண்ணை,Tamil
වන්නියන්මඩු,வன்னியன்மடு,Tamil
පුදියකෝවිල්ක්කුළම්,புதியகோவில்க்குளம்,Tamil
විලාත්තිකුලම්,விளாத்திகுளம்,Tamil
කෝච්චිකුලම්,கொச்சிக்குளம்,Tamil
ඉලන්තෛක්කුලම්,இலந்தைக்குளம்,Tamil
සින්නකුළම්,சின்னக்குளம்,Tamil
පණික්කර් පුලියන් කුලම්,பணிக்கா் புளியங்குளம்,Tamil
උඩෙයාමණල්,உடையாமணல்,Tamil
උඩයනාතන් කුලම්,உடயநாதன்குளம்,Tamil
කෛවේලි,கைவேலி,Tamil
වේරක්කාඩු,வேரக்காடு,Tamil
කාන්චුරමෝඩ්ඩෛ,காஞ்சுரமோட்டை,Tamil
ඉඩෛක්කාඩු,இடைக்காடு,Tamil
අවරන්තුලාව,அவரந்துலாவ,Tamil
මරවන්පුලවු බස්නාහිර,மறவன்புலவு மேற்கு,Tamil
කෙට්පේලි මැද,கெற்பேலி மத்தி,Tamil
මඩුක් කෝවිල්,மடுக் கோவில்,Tamil
සාරාපිට්ටි,சாறாப்பிட்டி,Tamil
කරම්පෛක් කුලම්,கரமபைக் குளம்,Tamil
සෝලෛ,சோலை,Tamil
ආත්තිමෝඩ්ඩෛ,ஆத்திமோட்டை,Tamil
වේලර්සින්නක්කුළම්,வேலர்சின்னக்குளம்,Tamil
ඉරාමනාදන් කුලම්,இராமநாதகுளம்,Tamil
අරසන්පුලම්,அரசன் புலம்,Tamil
කට්පහපිල්ලෙයාර් කොවිලඩි,கற்பகப் பிள்ளையார் கோவிலடி,Tamil
ඉට්ටාවිල්,இத்தாவில்,Tamil
පුදුක්කුඩීයිරුප්පු,புதுக்குடியிருப்பு,Tamil
සහායමාදාපුරම්,சகாயமாதாபுரம்,Tamil
මුල්ලික් කුලම්,முள்ளிகுளம்,Tamil
නීලමඩු,நீலமடு,Tamil
පිරප්පන්මඩුව,பிரப்பம்மடுவ,Tamil
නඳාවිල් පාර,நந்தாவில்லேன்,Tamil
වෙඩ්ඩුක්කාඩු,புலியந்குளம்,Tamil
කුමිලඩ්ඩිකුලම්,குமிளட்டிகுளம்,Tamil
තච්චන්තෝප්පු,தச்சன் தோப்பு,Tamil
වේලාපල්ලම්,வேளாபள்ளம்,Tamil
පෙරිය කුමක්කුලම්,பெரிய கூமக்குளம்,Tamil
පරුත්ති කලඩ්ඩි,பருத்திக்கலட்டி,Tamil
වෙල්ලාලකඩ්ඩු,வெள்ளாளகாட்டு,Tamil
ඒරන්තනෙයි,ஏரந்தனை,Tamil
සෙල්වපුරම් දකුණ,செல்வபுரம் தெற்கு,Tamil
උයරප්පුලම්,உயரப்புலம்,Tamil
කුමුලමුනෛ බස්නාහිර,குமுளமுணை மேற்கு,Tamil
කට්කුළම්,கற்குளம்,Tamil
චෙම්මලෛ,செம்மலை,Tamil
පාසෙයියූර් බටහිර කොටස,பாசையூர் மேற்கு பகுதி,Tamil
