,Name,Class
113,ඉමියානු මුදියන්සේලාගේ පසිඳු විහඟ වාසල,Sinhala
114,දසනායක මුදියන්සේලාගේ පුබුදු ඉශාන් දාස්වත්ත,Sinhala
115,மொஹொமட் சியாட் பாத்திமா ராஜியா,Muslim
116,பல்லெகெதர மனன்னலாயே சந்திரா காந்தி,Sinhala
117,අඹගහ හේවගේ දොන් ජයකොඩි,Sinhala
118,කරුණාරත්න මුහන්දිරම්ලාගේ දෝන චම්පා සරෝජිනි,Sinhala
119,ගාල්ලේ හෙට්ටිආරච්චිගේ ලක්නාත් දුලීක හෙට්ටිආරච්චි,Sinhala
120,ඇල්ෆ්‍රඩ් විදානගේ තුෂාර රජිත් ප්‍රනාන්දු,Sinhala
121,සූරි ආරච්චිගේ රංජනී,Sinhala
122,அபேசிங்ஹ லியனஆரச்சிகே ரோஹண அபேசிங்ஹ,Sinhala
123,අමරසිංහ සිරිවර්ධන කෝරලගේ දොන් නිශ්චල් දිනුෂාන්,Sinhala
124,රාමසාමි විජය ලලිතා,Tamil
125,කුලසුරිය ආරච්චිගේ ඉන්ද්‍රාවතී,Sinhala
126,අප්පු තන්තිරි ආරච්චිගේ වසන්ත,Sinhala
127,குருப்பு ஆரச்சிகே பிரேமவதீ ருத்ரிகு,Sinhala
128,கமலாவதீ அலஹகோன்,Sinhala
129,கலுகன்னதிகே கபிலவங்ஸ,Sinhala
130,උදාර දිල්ශාන් රුබසිංහ,Sinhala
131,கால்லே லியன ஆரச்சிகே விஜித் அசன்த,Sinhala
132,හෙට්ටි ආරච්චිගේ ප්‍රදීප් සඳරුවන්,Sinhala
133,ஜயவர்தன முதியன்சேலாகே உதாரி ரூபிகா ஜயவர்தன,Sinhala
134,ගුරුසිංහගේ දුලාංජන විජේරත්න,Sinhala
135,කොස්වත්ත ආරච්චිගේ කනිෂ්ක විජයවර්ධන,Sinhala
136,வீரசேகர முதியன்சேலாகே கமகெதர ஏகநாயக்க,Sinhala
137,நர்மலா கிருஷ்ணரூபன்,Tamil
138,லுவிஸ் ஹென்னதிகே ஜானக புஷ்ப குமார பர்ணாந்து,Sinhala
139,ரந்தெனிய ஆரச்சிகே தொன் மிலி வயலட்,Sinhala
140,හේරත් මුදියන්සේලාගේ චන්දන කුමාර,Sinhala
141,හෙයියන්තුඩුවගේ දෝන ටිරාශා පවනි,Sinhala
142,கல்லென கும்புரே கெதர விஜேரத்ன பண்டார,Sinhala
143,சிங்ஹல விரிது பனிக்கியலே காமிணீ ரனசிங்க,Sinhala
144,ලොකුබාලසූරියගේ දොන් අජීත් ‍ප්‍රියන්ත,Sinhala
145,வெலிகொட கமகே ரமணி,Sinhala
146,சுமணசிறி திசாநாயக்ககே இந்திராணி விஜேசிங்ஹ,Sinhala
147,තල්පෙ හකුරු සුජානි ප්‍රියංගනී,Sinhala
148,மொஹமட் முஸம்மில் ஜுனைதீன்,Muslim
149,අදිකාරි මුදියන්සේලාගේ කාන්තිලතා අදිකාරි මැණිකේ,Sinhala
150,කංකානිගේ නෙලී ස්ටෙලා පෙරේරා,Sinhala
151,මානගේ සුභද්‍රා,Sinhala
152,ඉන්තිෂානි ඉෂානා ආමන්,Sinhala
153,கதுரே முதியன்செலாகே அஜித் பண்டார,Sinhala
154,උඩුමුල්ලගේ දොන් සිරිසේන,Sinhala
155,සුදර්ශනි මංජුලා දයාරත්න,Sinhala
156,සිවකුමාරන් ලලිතාසාන්දි,Tamil
157,ஹேரத் முதியன்சேலாகே சுதத் அனுரசிறி,Sinhala
158,குறுகமகே சவியெல் மர்வின் லோட் பெரேரா,Sinhala
159,සේසත්පුර දේවගේ ප්‍රියන්ත සමන් කුමාර,Sinhala
160,සෙල්ලමුත්තු ලෙච්චිමි,Tamil
161,මහමාලගේ මහේශිකා නාමන්ති,Sinhala
162,இமியாகே சிரியாவதீ,Sinhala
163,குணவதீ ஆடிகல,Sinhala
164,අතුරුගිරි ආරච්චිගේ චන්ද්‍රවතී,Sinhala
165,අමරසිංහ රාලලාගේ නයනා රසාංජලි,Sinhala
166,ටිකිරි හැන්නදිගේ දසුන් ලක්‍ෂාන්,Sinhala
167,படுகஹகே சிரியானி பெரேரா,Sinhala
168,பிரகீத் குமார மதம்பிடியகே,Sinhala
169,ஹெட்டி ஆரச்சிகே தொன் உபுல் இந்திரஜித்,Sinhala
170,கசுனி விஜேமான்ன,Sinhala
171,රාජා විමලසිරි ත්‍රිමාවිතාන,Sinhala
172,ලියන ආරච්චිලාගේ දොන් චරිත විමුක්ති,Sinhala
173,மத்துமாகே பியசேன பெரேரா,Sinhala
174,மீகஹ விடகே அனுர,Sinhala
175,சகலசூரிய அப்புஹாமிலாகே கீதா சந்தமாலி,Sinhala
176,மிரிஹானகே மாலனீ பெரேரா,Sinhala
177,රසික සමන් වෙල්ගමගේ පෙරේරා,Sinhala
178,කන්දසාමි බාලගෞරෙස්වරන්,Tamil
179,ஹேவா புவக்தண்டாவகே பியதாச,Sinhala
180,கொலொம்பகே தோன அனுபம தில்ஹானி,Sinhala
181,முத்துகருப்பன் விஜயா,Tamil
182,මොහමඩ් ෆාරුක් ෆාතිමා හස්නා,Muslim
183,නිපුනච්චාරි ගණිතයලාගේ රශ්මි මාලිකා,Sinhala
184,ජයසූරිය කුරණගේ ආශා රොශිනි පෙරේරා,Sinhala
185,මේරි කෙලිස්ටා ජයවති ඩෝමිනික්,Sinhala
186,මුස්තාෆා හම්සියා,Muslim
187,කාරියප්පෙරුම ආරච්චිල්ලාගේ කුමුදුනි කුමාරි රණවීර,Sinhala
188,ඉමිහාමි මුදියන්සේලාගේ රත්නායක,Sinhala
189,රන්ජන් ටිරෝන් නිශාන්ත ප්‍රනාන්දු පුල්ලේ,Sinhala
190,කන්දෙ ආරච්චිලාගේ නිශ්ශංක බංඩාර,Sinhala
191,වතුහෙල රාලලාගේ දර්ශණ නුවන් බණ්ඩාර,Sinhala
192,உதார மாலக தல்கஹகெதர,Sinhala
193,நிசார் முகமட் கதிர்,Muslim
194,ஹேவா களுஅன்னக்ககே ஸ்வஸ்திகா நதீ குணதிலக,Sinhala
195,மொஹமட் அவ்பர் பாத்திமா பர்ஷானா,Muslim
196,කලුවා නැකතිගේ සුසිල් කුමාර,Sinhala
197,ලෙනින් ආර්ඩ්ලි කුරුස්,Sinhala
198,துசித பிரியங்கர வீரவர்தன,Sinhala
199,ரத்னகொட பரனாதுகே பெத்தும் சந்தருவன்,Sinhala
200,වනසිංහ මුදියන්සේලාගේ බුද්ධික ධනන්ජය වනසිංහ,Sinhala
201,කන්දසාමි සුජිකලා,Tamil
202,හපුතන්ත්‍රී ආරච්චිගේ දිලන්ත ඉෂාර,Sinhala
203,දෙවුන්දර ලියනගේ කාන්චනා සඳරුවනි විජේරත්න,Sinhala
204,ලහිරු සම්පත් රූබසිංහ යාපා,Sinhala
205,අමරකෝන් අප්පුහාමිලාගේ නිරෝෂා ප්‍රියදර්ශනි නවරත්න,Sinhala
206,சுப்பன் முனியாண்டி,Sinhala
207,සවුන්දා හැන්නදිගේ දිනේෂා මධුෂානි,Sinhala
208,වෙලේගෙදර බෙරකාරයාගේ කුසුමාවතී,Sinhala
209,சுப்பிரமணியம் மாரியம்மா,Tamil
210,பகிஸ்தானலாகே தரங்கனி சந்தமாலி,Sinhala
211,කරුණාදාසගේ රුවන් සම්පත් බංඩාර,Sinhala
212,ජොහාන් ඇන්තනී ද රොසයිරෝ,Sinhala
213,மங்கக்புலி திஸாநாயககே மாலனி திஸாநாயக்க,Sinhala
214,லேகமலாகே நிலுஷா சந்தமாலி,Sinhala
215,களு தந்திரிகே தொன் பாலித்த,Sinhala
216,හාටාවිලියලාගේ චන්ද්‍රලතා,Sinhala
217,கொடிகரகே ரேணுகா,Sinhala
218,அபேவிக்ரம ஹாந்தி ஆராச்சிகே தயாசிலி,Sinhala
219,විදාන පතිරන ආරච්චිගේ මනෝජ් වික්‍රමසිංහ,Sinhala
220,சுஜீவா தமயந்தி கல்ஹேனகே,Sinhala
221,මද්දුම සිංගම් කුට්ටිලාගේ දම්මිකා මල්කාන්ති,Sinhala
222,විජයසූරිය ආරච්චිගේ දොන් සාන්තසිරි ගුණරත්න,Sinhala
223,වතුකාරගේ ඉන්දු සසන්ති විජේරත්න,Sinhala
224,මාකවිටගේ ලෙස්ලි මර්වින් ඩයස්,Sinhala
225,පනන්ගල ලියනගේ සිරිසේන,Sinhala
226,ජීන් ස්වෝනි ඇන්ජලීන් ප්‍රදිනාන්දු,Sinhala
227,நடராஜா திரிபதிராஜா,Tamil
228,ரத்நாயக்க முதியன்சேலாகே உக்குபண்டா,Sinhala
229,නානායක්කාර පල්ලිය ගුරුගේ තුෂාර ධම්මික,Sinhala
230,பொல்வத்த கமகே லஹிரு புத்திக,Sinhala
231,කළුබෝවිලගේ රමණී කළුබෝවිල,Sinhala
232,විතානගේ සමන්ති,Sinhala
233,ஹர்ஷ தில்கான் முதுமால,Sinhala
234,දික්ගහ ආචාරිගේ ශර්මිලා කුමාරි,Sinhala
235,සෙල්ලමුත්තු සිවලිංගම්,Tamil
236,වන්නි ආරච්චිගේ අජීත් ඉන්ද්‍රපාල,Sinhala
237,மபாலகமகே பிரியங்கா நிலந்தி,Sinhala
238,සෙනවිරත්න මුදියන්සේලාගේ ලලිත් සෙනරත් බංඩාර,Sinhala
239,මොහම්මඩ් හමීඩ් මොහම්මඩ් නවාස්,Muslim
240,අන්දරවීර ආරච්චිගේ දීපානි එරන්ෂිකා,Sinhala
241,ஆறுமுகம் ராஜலக்ஷ்மி,Tamil
242,அப்துல் அசிஸ் முஹமட் சித்தீக்,Muslim
243,රාසීක් අබ්බාස්,Muslim
244,கதலுவ லியனகே நிஸாந்த குமார,Sinhala
245,மடப்புலி ஆரச்சிகே சுசித்தா பிரியந்தி பர்னாந்து,Sinhala
246,නස්රීනා ඉසදීන්,Muslim
247,சரவணமுத்து பரந்தாமன்,Sinhala
248,வெரலுபே கமலத்தலாகே சோமா சந்திரலதா குணரத்ன,Sinhala
249,කොටිවිල කංකානමලාගේ මංජුලා රෝෂණි පෙරේරා,Sinhala
250,கொடிகாரகே கசுன் ரங்க,Sinhala
251,සමරසිංහ මුදියන්සේලාගේ ශිරන්ත පුෂ්පකුමාර,Sinhala
252,හේවා තන්තිරිගේ දිනේෂ් කුමාර,Sinhala
253,உதுல அசங்க வீரசேகர,Sinhala
254,ருவன்மாலி அனோஜா மாஸகோராள,Sinhala
255,கபுருஹாமிகே திசானாயக,Sinhala
256,ரணசிங்ஹ முதியன்சேலாகே ஜானக பிரதீப் ரணசிங்ஹ,Sinhala
257,அட்டிகொட ஆச்சாரிகே பிரியங்கனி ரேணுகா பெரேரா,Sinhala
258,ரத்நாயக்க முதியன்சேலாகே சமிந்த ரத்நாயக்க,Sinhala
259,ஹீனடிகல பபரெந்தகே சஞ்ஜீவ குமார்,Sinhala
260,මුරුක්කුවාදුර චාමර දිමුතු මැන්ඩිස්,Sinhala
261,ආසිදෙනියගේ අජිත් අබේරුවන්,Sinhala
262,எதிரிசிங்ஹகே சிறியாவதி,Sinhala
263,සේපාල දහනායක ප්‍රේමවති,Sinhala
264,மல்லவ ஆரச்சி சமிந்த ரம்ய குமார,Sinhala
265,மலவர ஆரச்சிகே கசுனி ஹர்ஸிகா,Sinhala
266,மலயன் அன்னமலே,Sinhala
267,ජයමාන්න මොහොට්ටිගේ දෝන ග්‍රීසිල්ඩා සෙලින් රංජනී,Sinhala
268,පොන්නයියා සින්නම්මා,Tamil
269,සරෝජිනී වන්නිඅරච්ච්,Sinhala
270,போதுங்க ஆரச்சிகே காந்தி,Sinhala
271,அனோமா ஜோரிஸ் எதிரிசிங்ஹ,Sinhala
272,லபுகன்கந்தெ கட்டாதிகே விஜய சனோஜ் ஜயதுங்க,Sinhala
273,දුවගේ නිමේෂා ලක්ෂානී,Sinhala
274,மெலெவ்வே தந்திரிகே லக்மாலி குலசிங்ஹ,Sinhala
275,අප්පුවාදුර සමන්ති පුෂ්පිකා ද සොයිසා,Sinhala
276,மொஹமட் ரிஸ்வான் சம்சுடீன்,Muslim
277,මාපලගම මානගේ රම්‍යලතා මල්කාන්ති,Sinhala
278,සෝමවති ඕපනායක,Sinhala
279,වැලිකල විතානලාගේ ලයනල් රොද්‍රිගු,Sinhala
280,තාන්තුලගේ ලක්ෂන්ති උපමා ප්‍රනාන්දු,Sinhala
281,පියන්කරගේ මිහිර ප්‍රනාන්දු,Sinhala
282,லந்தகே மதுக பிவிதுரு லந்தகே,Sinhala
283,තිස්ස කුමාර බණ්ඩාරනායක,Sinhala
284,තංගරාජා කවීෂ්ටා,Tamil
285,අටුගොඩ ආචාරිගේ ශෂිකා දර්ශනී,Sinhala
286,කළුතන්ත්‍රි ආරච්චිලාගේ දෝන ආෂා කුමුදිනී,Sinhala
287,ආරුමුගම් වාන්මදී,Tamil
288,කොතලාවලගේ රේණුකා දීපනි,Sinhala
289,තොම්මගේ දිස්නා ශ්‍යාමලී,Sinhala
290,මහපතිරණගේ මහේෂ් සංජය කුමාරනායක,Sinhala
291,කලුමුනි කිංස්ලි ගාමිණී,Sinhala
292,විජේතුංග මුදියන්සේලාගේ සමන් පාලිත මහකුඹුර,Sinhala
293,කුමාරවඩිවේල් නිසාන්දන්,Tamil
294,සුබෝදා දේශානි විජේසිංහ,Sinhala
295,නවරත්න බණ්ඩාරලාගේ තුෂාර නිල්මිණී සම්පත් සිල්වා,Sinhala
296,වාදසිංහගේ ජානකී පුෂ්පමාලා,Sinhala
297,இராசரத்தினம் ரவிக்குமார்,Tamil
298,பிங்ஹாமிகே நுவன் அனுராத,Sinhala
299,උඩගම් දුරගේ ප්‍රියංගිකා පුෂ්පකුමාරි,Sinhala
300,රනවීර ආරච්චිගේ නිමේෂා මධුවන්ති රනවීර,Sinhala
301,කඩුපිටිගේ අසිත මධුශංක සිල්වා,Sinhala
302,மடபாதகே தொன் சஞ்ஜீவ அமில,Sinhala
303,ஹிரியமுல்ல விதானகே பியுமி மதுரங்கி,Sinhala
304,எடிப்புலி ஆரச்சிகே தொன் பசிந்து தேஷான்,Sinhala
305,කෝදාගොඩගේ සමන් කුමාර,Sinhala
306,முனசிங்க ஆரச்சிகே லீலானி நிரோஷா சாலட்,Sinhala
307,ගල්බඩ ආරච්චිගේ නිරෝෂා මල්කාන්ති,Sinhala
308,ගනේවත්තගේ ජයවීර,Sinhala
309,සමරවීර මුදලිගේ දෝන වරුණී ඉන්දිකා සමරවීර,Sinhala
310,ත්‍රිවංග තාපුල්ලගේ දයාරංග රුද්‍රිගු,Sinhala
311,ஹேவா தலடுகே காஞ்சனா செவ்வந்தி,Sinhala
312,சண்முகம் எலிசபெத் ராணி,Tamil
313,கங்கானம் பத்திரனகே விஜேனந்த,Sinhala
314,கடுபிட்டிகே ஜோன் சுனில் பெர்னாண்டோ,Sinhala
315,பெலிடிய விதானகே ஹஷான் ஈஷாக்,Sinhala
316,தம்பெல்ல கமகே திலிணி தில்ருக்ஷி,Sinhala
317,ටිරෝන් විතාන,Sinhala
318,ரனேபுர ஹேவாகெ உபாலி டயஸ்,Sinhala
319,சேமசிங்க நவரத்னகே டவுந்தசேகர மிரான் குசல் மங்கல த சில்வா,Sinhala
320,அரவ்வல ஜோதிகே எரந்ததி பெரேரா,Sinhala
321,ஹசினி நயனஹாரி எலியபுர,Sinhala
322,கெட்டாரலலாகே ஸிரியாவதி,Sinhala
323,මහනායක මුදලිගේ නන්දාවති,Sinhala
324,කෝදාගොඩගේ තුසිත් ප්‍රියංකර,Sinhala
325,முருகையா அஜன்,Tamil
326,කපුවාගේ සජිත් තුෂාර ශ්‍යාමන්ත,Sinhala
327,பிலிப்பென்கே நிலுஸி பிரியங்கனி சில்வா,Sinhala
328,அக்மீமன ஹெட்டிஆரச்சிகே மெட்டில்டா,Sinhala
329,කදිර ආරච්චිගේ දොන් ලකිත් ප්‍රෙමලාල්,Sinhala
330,චන්ද්‍රසේකරම් ශෝබනා,Sinhala
331,எதிகே ஜுட் லக்மால் சில்வா,Sinhala
332,கழுவலேகே சந்திரதிலக,Sinhala
333,දුපසි සේවියර් රෙක්ස් ගෝමස්,Tamil
334,කැකුලාවල විදානලාගේ සුනිල් පෙරේරා,Sinhala
335,சுமனபால கன்ஹேவாகே சமரநாயக,Sinhala
336,මොහමඩ් පාරුක් ෆාතිමා ෆස්‍රා,Muslim
337,කුලරත්නගේ චමිල් සානුක පෙරේරා,Sinhala
338,දිසානායකගේ පුලස්ති මනිවර්ධන දිසනායක,Sinhala
339,කනන්කෙගේ කැලුම් සඳරුවන්,Sinhala
340,ஷிரான் திலங்க சமரசிங்க,Sinhala
341,අනුෂ්කා නයෝමි විනිෆ්‍රඩ් පීරිස් වෙත්තසිංහ,Sinhala
342,හේවාවසම් වීරප්පුලිගේ චන්ද්‍රා ජානකි මනෝරි,Sinhala
343,பலபத லியனகே தொன் அந்திரயஸ்,Sinhala
344,දිවාකර මොහොට්ටිගේ සමිත,Sinhala
345,அந்தோனி முத்து செலஸ்டீன்,Sinhala
346,ரத்னாயக்க முதியன்சேலாகே ரத்னாயக்க மெணிக்கே,Sinhala
347,மொஹமட் நாசிம் மொஹமட் சப்ராஸ்,Muslim
348,பிரதீப் ரங்க தெனகமகே,Sinhala
349,තිබ්බොටුව දෙනියෙ කංකානම්ගේ නාලක,Sinhala
350,வலினெத்தி ஜயந்த அமரசிங்ஹ,Sinhala
351,வெல்கமகே நிஸஞ்ஸலா மதுஷானி,Sinhala
352,கெடியபே லியன ஆரச்சிகே ரவிந்து கயான் மதுஷங்க,Sinhala
353,சேனாநாயக்க அப்புஹாமிலாகே குணதிலக,Sinhala
354,මදුරවල ගමගේ දෝන පැට්‍රීෂියා,Sinhala
355,சேனாரத்னகே அரவிந்த பிரியசாத் சேனாரத்ன,Sinhala
356,දුනුවිලගේ සුවේන්ද්‍රා දර්ශනී,Sinhala
357,පාතිමා ජස්ලින් අහමඩ් රාජි,Muslim
358,ලොකු අරුමගේ ප්‍රමිලා නිශාන්ති චන්ද්‍රරත්න,Sinhala
359,ශාලිකා වරුසප්පෙරුම,Sinhala
360,සුප්‍රමනියම් සෙල්වරනි,Tamil
361,நைஅதிகாரகே ஜயந்தா விமல்சிறி பர்ணாந்து,Sinhala
362,உயன ஹேவாகே அசித சுரங்க,Sinhala
363,කනහලා ගමගේ මනෝජ් සුසංග,Sinhala
364,හේවා මද්දුමගේ ‍ප්‍රියන්ත,Sinhala
365,ஹமீப் மொஹமட் அப்துல் ரஹ்மான்,Muslim
366,තෙන්නකෝන් මුදියන්සේලාගේ තිලකරත්න,Sinhala
367,பெத்தெ கங்கானம்கே ஜனக ரசான்,Sinhala
368,වේලායුදන් රාජේන්ද්‍රන් සතිස්,Tamil
369,தினயாதுர சுதர்ஷன பிரதீப ஸ்ரீ சம்பத் குமார,Sinhala
370,වර්ණකුලසූරිය ටෙක්සි පීලික්ස්,Sinhala
371,රනේපුර දේවගේ වත්සලා කරුණාරත්න,Sinhala
372,අත්තනගොඩ කංකානාමලාගේ තිලකරත්න,Sinhala
373,ரம்யலதா நீலகாந்தி ஜயசிங்க,Sinhala
374,මනමෙල්දුර ක්‍රිෂාන්ත කුමාර,Sinhala
375,வேவெல்தெனிகே மாரியா ஜொசபின் பர்ணாந்து,Sinhala
376,වර්ණකුලසූරිය ඉනෝකා ජීවනී ප්‍රනාන්දු,Sinhala
