Sinhala,Tamil,Class
හකමුව ලේකමලාගේ සුමාල් චේතිය ගුණරත්න,ஹகமுவ லேகம்லாகே சுமால் சேத்திய குணரத்ன,Sinhala
ගමකරනලාගේ දුලාන් මදුමාල් ජයලත්,கமகரனலாகே துலான் மதுமால் ஜயலத்,Sinhala
දෙයිවේන්ද්‍රරාසා තුජීක්කා,தெய்வேந்திரராசா துஜீக்கா,Tamil
නිවිතිගල කහංගමගේ පියුමි අප්සරා නිවිතිගල,நிவிதிகல கஹங்கமகே பியுமி அப்சரா நிவித்திகல,Sinhala
සතරසිංහ ආරච්චිලාගේ තිලිනි තක්ෂිලා සතරසිංහ,சதரசிங்க ஆரச்சிலாகே திலினி தக்ஷிலா சதரசிங்க,Sinhala
අසුරමාන පේඩිගේ කෞශල්‍යා මධුභාෂිනී පතිරණ,அசுரமான பேடிகே கௌஷல்யா மதுபாஷினி பதிரன,Sinhala
ගල්වඩුගේ හසිකලා සුභාෂනී සෙව්වන්දි,கல்வடுகே ஹசிகலா சுபாஷனி செவ்வந்தி,Sinhala
නිශංකා ප්‍රියන්ති ලියනගේ,நிஷங்கா பிரியன்தி லியனகே,Sinhala
හේවායලාගේ චතුරංග ඉමල්කුමාර,ஹேவாயலாகே சதுரங்க இமல்குமார,Sinhala
ලේකමලගේ ශයාමලී ධර්මදාස,லேகமலாகே ஷியாமலி தர்மதாச,Sinhala
එදිරච් වාරිගේ විමලරත්න,எதிரச் வாரிகே விமலரத்ன,Sinhala
අබූබක්කර් කුලන්තයුම්මා,அபூபக்கர் குழந்தைஉம்மா,Muslim
කොටියාබැද්දේ ගෙදර ඩිල්ශානි මදුෂිකා බැද්දේ ගෙදර,கொட்டியா பெத்தே கெதர டில்ஷானி மதுஷிகா பெத்தேகெதர,Sinhala
වික්‍රම ආරච්චිගේ ස්ටැන්ලි සේනාරත්න,விக்ரம ஆரச்சிகே ஸ்டன்லி சேனாரத்ன,Sinhala
බෝදරගමගේ ගයාන් රවිඳු,பொதரகமகே கயான் ரவிந்து,Sinhala
සංජීවනීගේ දිල්ෂාන් මධුසංක,சன்ஜீவனிகே டில்ஷான் மதுசங்க,Sinhala
රත්නායක මුදියන්සේලාගේ මධුවන්තිකා රත්නායක,ரத்னாயக்க முதியன்சேலாகே மதுவன்திக்கா ரத்னாயக்க,Sinhala
උඩුගම කෝරලාගේ දොන් ටිලංග ප්‍රමිත් විදුසර,உடகம கோரலாகே தொன் டிலங்க பிரமித் விதுசர,Sinhala
කුරුප්පු ආරච්චිල්ලාගේ බුද්ධිනී ප්‍රසන්දිකා ධර්මසේන,குருப்பு ஆரச்சில்லாகே புத்தினி பிரசாந்திகா தர்மசேன,Sinhala
මැදගමගේ ජසින්තා දිලිනි තුෂාරි ගමගේ,மெதகமகே ஜசிந்தா திலினி துஷாரி கமகே,Sinhala
වික්‍රම නවරත්න මුහංදිරම්ලාගේ දළුග්ගලේ ගෙදර ප්‍රසන්න අජිත් කුමාර,விக்ரம நவரத்ன முஹங்திரம்லாகே தலோக்கலே கெதர பிரசன்ன அஜித் குமார,Sinhala
තන්තිරිගේ අෂාන් මධුසංඛ,தன்திரிகே அஷான் மதுசங்க,Sinhala
ගුණසිංහ බංඩාගේ නදීකා දිල්රුක්ෂි සමරකෝන්,குணசிங்க பண்டாகே நதீகா டில்ருக்ஷி சமரகோன்,Sinhala
වලිසිංහ දේවගේ ප්‍රමෝද්‍ය නිර්මාල් විජේසිංහ,வலிசிங்ஹ தேவாகே பிரமோத்ய நிர்மால் விஜேசிங்ஹ,Sinhala
විජයලත් පතිරණලාගේ අෂාන් මිහිරංග විජයලත්,விஜயலத் பதிரனலாகே அஷான் மிஹிரங்க விஜயலத்,Sinhala
සන්ද්‍රා දුරගේ සිතාරා දේවින්දි,சந்திரா துரகே சித்தாரா தேவிந்தி,Sinhala
කංකානම් ගමගේ පසිඳු දිල්මින්,கங்காகனம் கமகே பசிது தில்மின்,Sinhala
සුරවීර ආරච්චිගේ චන්දිමා සෙව්වන්දි,சுரவீர ஆரச்சிகே சந்திமா செவ்வந்தி,Sinhala
කන්තසාමි තිරුමති,கந்தசாமி திருமதி,Tamil
අත්තනායක මුදියන්සේලාගේ වක්කුඹුරේ ගෙදර සෙනවිරත්න,அத்தநாயக்க முதியன்சேலாகே வக்கும்புரே கெதர செனவிரத்ன,Sinhala
මාවනානෙ හේවා ලහිරු ගයාන් කරුණාරත්න,மாவனானே ஹேவா லஹிரு கயான் கருணாரத்ன,Sinhala
උඩගෙදර සජිත් තාරුක,உடகெதர சஜித் தாருக்க,Sinhala
පටබැඳි ගෙදර ලසන්ත කුමාර පටබැඳිගේ,படபென்தி கெதர லசந்த குமார படபென்திகே,Sinhala
රතුගේ ඔස්ටින් ජයතිලක,ரத்துகே ஒஸ்டின் ஜயதிலக,Sinhala
ජෙමිල් ඉර්ෆාන්,ஜெமில் இர்பான்,Muslim
අහමදු ලෙබ්බෙ අස්ෆියා,அகமது லெவ்வை அஸ்பியா,Muslim
හේනක රාල්ලා සීබල් රත්නායක,ஹேனக்க ரால்லா சீபல் ரத்னாயக்க,Sinhala
රන්කොත්ගේ නිශාදි තත්සරා නිමල් දිසානායක,ரன்கொத்தகே நிஷாதி தத்சரா நிமல் திசாநாயக்க,Sinhala
අරත්තල ගෙදර පත්මිණි ආරියදාස,அரக்கல கெதர பத்மினி ஆரியதாச,Sinhala
හේවා කෝපරගේ චමක කුසිනාර,ஹேவா கோபரகே சமக்க குசினார,Sinhala
සෙල්ලතුරෛ චෙල්වි,செல்லத்துரை செல்வி,Tamil
තලංගම අප්පුහාමිලාගේ දොන් රිශාන් ධනුෂ්ක,தலங்கம அப்புஹாமிலாகே தொன் ரிஷான் தனுஷ்க,Sinhala
මඩවල මද්දුමාගේ එරන්ද මදුසංඛ,மடவள மத்துமாகே எரந்த மதுஷங்க,Sinhala
උදයේන්ද්‍රන් ප්‍රතාප්,உதயேந்திரன் பிரதாப்,Tamil
වනසිංහ මුදියන්සේලාගේ කමල් බන්දු වනසිංහ,வணசின்ஹ முதியன்செலகே கமல் பந்து வனசிங்க,Sinhala
වීරසූරියගේ ඩිලානි ප්‍රනාන්දු,வீரசூரியகே டிலானி பெர்னான்டோ,Sinhala
හේරත් මුදියන්සේලාගේ චම්පිකා හේරත්,ஹேரத் முதியன்சேலாகே சம்பிகா ஹேரத்,Sinhala
රාජපක්ෂ මුදියන්සේලාගේ ජයන්ත වීරසේකර,ராஜபக்க்ஷ முதியன்சேலாகே ஜயன்த வீரசேகர,Sinhala
වැලිගල මුදියන්සේලාගේ ඩිලාන් ජානක බණ්ඩාර,வெலிகல முதியன்சேலாகே டிலான் ஜானக பண்டார,Sinhala
විජයම් විජිත්‍රා,விஜயம் விஜித்திரா,Tamil
විජයලත් පේඩිගේ මිලානි ප්‍රදීපා අබේරත්න,விஜயலத் பேடிகே மிலானி பிரதீபா அபேரத்ன,Sinhala
මරදමුත්තු සිවකුමාර්,மரதமுத்து சிவகுமார்,Tamil
මොහොට්ටිගේ දොන් රොෂාන් ලක්ෂිත,மொஹொட்டிகே டொன் ரொஷான் லக்ஷித,Sinhala
පෙරියසාමි පුෂ්පකුමාර,பெரியசாமி புஸ்பகுமார,Tamil
අඹගහගේ මිල්රෝයි නිරෝෂණ ප්‍රනාන්දු,அம்பகஹகே மில்ரோய் நிரோஷண பர்ணாந்து,Sinhala
කුමරෙස්වරන් අජිත්කුමර්,குமரேஸ்வரன் அஜித்குமார்,Tamil
අරඹගේ ඉසුරු සම්පත්,அரம்பகே இசுரு சம்பத்,Sinhala
මැද්ද විටගේ ඉන්දික රොෂාන්ද මැද්දවිටගේ,மெத்த விட்டகே இந்திக ரொஷாந்த மெத்தவிட்டகே,Sinhala
වනිගසිංහ දිනේෂා ලක්මාලි,வனிகசிங்க தினேஷா லக்மாலி,Sinhala
ජෝශප් සුගත්සිරි,ஜோசப் சுகத்சிறி,Sinhala
මුහමදු හනිෆා කාලිතා,முஹம்மது ஹனிபா காலிதா,Muslim
හෙට්ටි ආරච්චිලාගේ සීදේවි මධුෂිකා,ஹெட்டியாராச்சி சீதேவி முனசிங்க மடுஷிகா,Sinhala
කිරින්ගොඩගේ නිලක්ෂි සඳරුවනි,கிறின்கொடகே நிலக்ஷி சந்தறுவனி,Sinhala
විමලතාස් අනිත්තාන්,விமலதாஸ் அனித்தான்,Tamil
හෙට්ටිආරච්චිගේ කසුන් චතුරංග,ஹெட்டிஆரச்சிகே கசுன் சத்துரங்க,Sinhala
සිවකුමාර් ශිවරන්ජන්,சிவகுமார் ஷிவரஞ்ஜன்,Tamil
සම්සුදීන් සිත්ති හර්ෂානා,சம்சுதீன் சித்தி ஹர்ஷானா,Tamil
අරුනාසලම් කනකේස්වරි,அருணாசலம் கனகேஸ்வரி,Tamil
සිවනේසරාසා සෝපියා,சிவநேசராசா சோபியா,Tamil
ගජනායක පතිරගේ බුද්ධිකා ප්‍රියදර්ශනී ගජනායක,கஜநாயக்க பத்திரகே புத்திகா பிரியதர்ஷனி கஜநாயக்க,Sinhala
විතාරනගේ මදුකා මධුෂානි විතාරණ,விதாரனகே மதுகா மதுஷானி விதாரண,Sinhala
වහුම්පුරගේ පියුමි වත්සලා කීර්තිසිංහ,வஹும்புரகே பியுமி வத்சலா கீர்த்திசிங்ஹ,Sinhala
එදිරිසිංහ රාජපක්ෂ හාලි විදානේලාගේ දිනේෂ් මධුශංඛ අබේවික්‍රම,எதிரிசிங்க ராஜபக்ஷ ஹாலி விதானேலாகே தினேஷ் மதுஷங்க அபேவிக்ரம,Sinhala
කන්දසාමි විජයමලර්,கந்தசாமி விஜயமலர்,Tamil
සිවනාදන් සිවරාජිනි,சிவநாதன் சிவராஜினி,Tamil
ජයවීර මුදියන්සේලාගේ එරන්ද නිරෝෂණ ජයවීර,ஜயவீர முதியன்சேலாகே எரந்த நிரோஷன ஜயவீர,Sinhala
තේවකුමාරන් කුෂ්‍යන්තන්,தேவகுமாரன் குஷ்யந்தன்,Tamil
රාමනාදන් රාජසේකරන්,இராமநாதன் ராஜசேகரன்,Tamil
පෙරුමාල් රන්ජීතම්,பெருமாள் ரஞ்ஜீதம்,Tamil
වීරසිංහ මුදියන්සේලාගේ උඩගෙදර සමන් කුමාර බණ්ඩාර වීරසිංහ,வீரசின்ஹ முதியன்செலாகே உடகேதர சமன் குமார பண்டார வீரசிங்க,Sinhala
අලගය්යා කෝගුලන්,அழகையா கோகுலன்,Tamil
එගොඩ ගෙදර දුමින්ද ලහිරු ලක්මාල්,எகொட கேதர துமிந்த லஹிறு லக்மால்,Sinhala
කාලිමුත්තු ජයනාත්,காளிமுத்து ஜயனாத்,Sinhala
රත්නායක මුදියන්සේලාගේ රශ්මි විරංගා රත්නායක,ரத்னாயக்க முதியன்சேலாகே ரஷ்மி விரங்கா ரத்னாயக்க,Sinhala
ඉදිකැටිය හේවගේ තුෂල් මධුෂංඛ,இந்திகெட்டிய ஹேவகே துஷல் மதுஷங்க,Sinhala
රාජපක්ෂ මුදියන්සේලාගේ තිසුර උදාන පසන් රාජපක්ෂ,ராஜபக்ஷ முதியன்சேலாகே திஸுர உதான பஸன் ராஜபக்ஷ,Sinhala
ගාර්දියේ හේවාවසන් කැළණියන් ගොඩ දිල්ෂාන් දිනුෂ වික්‍රමසිංහ,கார்தியே ஹேவாவசன் கெலணியன் கொட தில்ஷான் தினுஷ விக்கிரமசிங்க,Sinhala
සියඹලා ගමගේ රසාංගි ලාලිත්‍යා අබේසිංහ,சியம்லா கமகே ரசாங்கி லாலித்யா அபேசிங்க,Sinhala
ඉසුරු උදාර සේනානායක හෙට්ටිආරච්චි,இசுறு உதார சேனாநாயக்க ஹெட்டிஆரச்சி,Sinhala
වන්නකු වත්ත වඩුගේ සචින්ද්‍රා සංදීපනී කුමාරි,வன்னகு வத்த வதுகே சசிந்திரா சஞ்தீபனி குமாரி,Sinhala
ගුස්තින්ඥාවඩු අෂාන් මිහිරංග,குச்திந்ஞாவடு அஷான் மிஹிரங்க,Sinhala
අලංකාරගෙදර ජනක ආසිරි අබේසිංහ,அலங்காரகெதர ஜனக ஆசிரி அபேசிங்க,Sinhala
රත්නායක මුදියන්සේලාගේ රසාංග මධුර බණ්ඩාර,ரத்நாயக்க முதியன்சேலாகே ரசாங்க மதுர பண்டார,Sinhala
ඉමියා අතුකෝරාලලාගේ චාමර අනුරුද්ධ අතුකෝරල,இமியா அத்துகோராலலாகே சாமர அனுருத்த அத்துகோரல,Sinhala
ජයසේකර මුදලිගේ චමින්ද ඉන්දික ජයසේකර,ஜயசேகர முதலிகே சமிந்த இந்திக ஜயசேகர,Sinhala
මුනමල් ගාවත්තේ ගෙදර පත්මිණී අනෝමා කුමාරි,முனமல் காவத்தே கெதர பத்மினி அனோமா குமாரி,Sinhala
විදානෙ ගමගේ නෙලුම්,விதான கமகே நெலும்,Sinhala
ලොකුගමගේ සෝමාවති,லோகுகமகே சோமாவதி,Sinhala
රණහේවාගේ දිනිති චමෝදිකා රණහේවා,ரணஹேவாகே தினிதி சமோதிகா ரணஹேவா,Sinhala
නෙයිනා මොහම්මදු ඉනායතුල්ලා,நெய்னா முகம்மது இனாயதுல்லா,Muslim
අරුලානන්තම් දේවමනෝකරි,அருலானந்தம் தேவமனோகரி,Tamil
උමරුලෙබ්බේ සපියාවුම්මා,உமறுலெவ்வை சபியவும்மா,Muslim
මුහමඩ් ගවුස් කමරුන්නිසා,முஹம்மது கவுஸ் கமறுன்னிசா,Muslim
ෆරූක් මුහම්මදු මුර්ෂික්,பாறூக் முஹம்மது முர்ஷித்,Muslim
නුෆයිස් සාජිදා,நுபைஸ் ஸாஜிதா,Muslim
තවරාසා ඩිලක්ෂන්,தவராசா டிலக்ஷன்,Tamil
සුදුසිංහ වාව්වෙගේ රවිනි විදුෂිකා ගුණවර්ධන,சுதுசிங்க வாவ்வெகே ரவினி விதுசிகா குணவர்தன,Sinhala
ලියනගේ නිලුෂිකා විරාජනි කරුණාසේන,லியனகே நிலுஷிகா விராஜனி கருணாசேன,Sinhala
සුන්දරම් සුරේෂ්බාබු,சுந்தரம் சுரேஷ்பாபு,Tamil
රවිචන්ද්‍රන් අරවින්ත්,ரவிச்சந்திரன் அரவிந்த்,Tamil
තියාගරාසා නිලක්සන්,தியாகராசா நிலக்ஷன்,Tamil
තුයියා හන්නැදි ඉසුරු මධුෂාන් සෙනරත්,துய்யா ஹன்னதி இசுரு மதுஷான் செனரத்,Sinhala
අබේවික්‍රම විදානපතිරණගේ ඉසුරු උදාර,அபேவிக்ரம விதானபதிரனகே இசுரு உதார,Sinhala
පිළිමතලාවේ රතනකිත්ති හිමි,பிலிமதலாவே ரதனகித்தி தேரர்,Sinhala
මාතලේ සුගතකිත්ති හිමි,மாதலே சுகதகித்தி தேரர்,Sinhala
දොලමුන කංකානම්ගේ සචිනි සෙව්වන්දි ප්‍රේමතිලක,தொலமுன கன்கானம்கே ஸசினி செவ்வந்தி பிரேமதிலக,Sinhala
හොරවල විතානගේ ඉනෝකා ගුණවර්ධන,ஹொரவல விதானகே இனோகா குணவர்தன,Sinhala
සිංගක්කුලීගේ නිව්ටන්,சிங்கக்குலிகே நிவ்டன்,Tamil
ලියනආරච්චිගේ නිලාන්,லியனஆரச்சிகே நிலான்,Sinhala
ජයමාන්න මොහොට්ටිගේ දොන් ලක්ෂාන් මධුශංඛ,ஜயமான்ன மொஹொட்டிகே டொன் லக்ஷான் மதுஷங்க,Sinhala
අජන්තා විජයානන්තන්,அஜந்தா விஜயானந்தன்,Sinhala
කුරණගේ කුමුදු කුමාරි පෙරේරා,குரனகே குமுது குமாரி பெரேரா,Sinhala
මාගම මුදලිගේ ලලිතා,மாகம முதலிகே லலிதா,Sinhala
පැපිලිවල ගමරාලලාගේ දයාවතී,பெபிலல்லிவல கமராலலாகே தயாவதீ,Sinhala
දුනුහීන්ගේ සන්ධ්‍යා මධුවන්ති,தினுஹின்கே சந்தியா மதுவந்தி,Sinhala
නාරංගල්ලේ කංකානමලාගේ ස්වර්ණා රම්‍යලතා,நாரங்கல்லே கங்கானமலாகே சுவர்ணா ரம்யலதா,Sinhala
කූඩ ගමගේ චන්ද්‍රලතා,கூட கமகே சந்திரலதா,Sinhala
මදුරප්පෙරුම ආරච්චිලාගේ සිතුම් දනුෂ්ක සිරිවර්ධන,மதுரப்பெரும ஆரச்சிலாகே சிதும் தனுஷ்க சிரிவர்தன,Sinhala
මොරගලගේ ආනන්ද පෙරේරා,மொரகலகே ஆனந்த பெரேரா,Sinhala
ජයසුන්දර මුදියන්සේලාගේ අනෝෂා සෙනෙවිරත්න,ஜயசுந்தர முதியான்சேலாகே அனோஷா செனெவிரத்ன,Sinhala
ජසෙන්තු හේවගේ ඉනෝකා මධුශානි,ஜசெந்து ஹேவகே இனோகா மதுஷானி,Sinhala
තංගවෙලු ඥාණරාජන්,தங்கவேளு ஞானராஜன்,Tamil
ෂෙහාන් හිරංග චන්ද්‍රසේකර,ஷெஹான் ஹிரங்க சந்திரசேகர,Sinhala
කෑගල්ලේ කල්‍යාණකිත්ති හිමි,கேகல்லே கல்யாணகித்தி தேரர்,Sinhala
බණ්ඩාරවෙල අරියකිත්ති හිමි,பண்டாரவெல ஆரியகித்தி தேரர்,Sinhala
ගල්බොක්ක හේවගේ සෙව්වන්දි වාසනා කුලසුරිය,கல்பொக்க ஹேவகே செவ்வந்தி வாசனா குலசூரிய,Sinhala
අහංගම වලවගේ යුරේකා සංජීවනී,அகங்கம வலவகே யுரேகா சஞ்ஜீவனி,Sinhala
පියදිගමගේ දිල්කි ඉෂාරා,பியதிகமகே தில்கி இஷாரா,Sinhala
එළුවාවලගේ හශාන් ප්‍රියදර්ශන,எலுவாவலகே ஹஷான் பிரியதர்ஷன,Sinhala
බරණාදුගේ රවිඳු කාවිංග සංකල්ප,பரனாதுகே ரவிந்து காவிங்க சங்கல்ப,Sinhala
මොහමඩ් මුහම්මදු අස්ජද්,மொகமட் முகம்மது அஸ்ஜத்,Muslim
මොහමඩ් කුරයිස් මොහමඩ් මුස්තාක්,மொஹமட் குரைஸ் மொஹமட் முஸ்தாக்,Muslim
ලංකා ගීගෙනගේ රේණුකා,லங்கா கீகெனகே ரேணுகா,Sinhala
සදුන් ප්‍රදීප් සන්දනායක,சந்துன் பிரதீப் சந்தநாயக்க,Sinhala
ප්‍රශාන් මිණිඳු ගමගේ,பிரஷான் மினிந்து கமகே,Sinhala
කරල හින්ගේ රංජනී ප්‍රෙමකාන්ති,கரல கிங்கே ரஞ்சனி பிரேமகாந்தி,Sinhala
නානායක්කාර වසම් නාගහවත්තගේ චන්ද්‍රදාස,நாநாயக்கார வசம் நாகஹவத்தகே சந்திரதாச,Sinhala
අරාවත්ත කංකානමලාගේ සවිනි එරන්දිකා තිලකරත්න,அராவத்த கங்கானமலாகே சவினி எரந்திகா திலகரத்ன,Sinhala
පනාවැන්න වෙදගේ එශානි චෂිකා හංසමාලි විජේතුංග,பனாவென்ன வெதகே எஷானி சஷிகா ஹங்சமாலி விஜேதுங்க,Sinhala
ඉරුප්පුවේ බද්දගේ වරුණි විරාජිනි වීරවර්ධන,இருப்புவே பத்தகே வருணி விராஜினி வீரவர்தன,Sinhala
බස්නැග්ගේ ඩිලීෂ ලක්ෂාන් ප්‍රේමසිරි,பஸ்னெக்கே டிலீஷ லக்ஷான் பிரேமசிறி,Sinhala
හඳුවලගේ තීක්‍ෂණි මධුවන්ති ජයසිංහ,ஹந்துவலகே தீக்ஷனி மதுவந்தி ஜயசிங்ஹ,Sinhala
දෑල වනසිංහ මුදියන්සේලාගේ සන්තුෂි කුමාලා වනසිංහ,தேல வனசிங்ஹ முதியன்சேலாகே சந்துஷி குமாலா வனசிங்ஹ,Sinhala
මැදවත්තේ අවිශ්ක දේශාන් සේනාරත්න,மெதவத்தே அவிஷ்க தேஷான் சேனாரத்ன,Sinhala
බුස්ස දේවගේ සන්ධ්‍යා කුමාරි,புஸ்ஸ தேவகே சந்தியா குமாரி,Sinhala
සමරතුංග මුදියන්සේලාගේ හසිනි රන්ජුලා රණසිංහ,சமரதுங்க முதியன்சேலாகே ஹசினி ரன்ஜுலா ரணசிங்க,Sinhala
යදීෂ සජීර් ශ්‍රී කීර්තිවර්ධන,யதீஷ சஜீர் ஸ்ரீ கீர்த்திவர்தன,Sinhala
කනේසමුර්ති මනෝකරි,கணேசமூர்த்தி மனோகரி,Tamil
සත්තිය වෙලු ලතා,சத்திய வேலு லதா,Tamil
වික්‍රම ආරච්චිගේ චානක මධුමාල්,விக்கிரம ஆரச்சிகே சானக மதுமால்,Sinhala
පතිරණ මුදියන්සේලාගේ ප්‍රමෝදි නිම්මිකා ගුණවර්ධන,பதிரண முதியன்சேலாகே பிரமோதி நிம்மிகா குணவர்தன,Sinhala
බෝගහ කොරටුවේ තෂ්ම් කාවින්ද්‍යා කරුණාරත්න,போகஹ கொரடுவே தஷ்மி காவிந்தயா கருணாரத்ன,Sinhala
නිවිතිගල නයිදෙලාගේ මනිෂා රුවන්ති ප්‍රේමරත්න,நிவிதிகல நைதெலாகே மனிஷா ருவந்தி பிரேமரத்ன,Sinhala
රත්නත්ගේ ලේකමලාගේ රිද්මි කාවින්ද්‍යා ලේකම්ගේ,ரத்னத்கே லேகமலாகே ரித்மி காவிந்தியா லேகம்கே,Sinhala
පිටගම්පොලගේ අරුණ ප්‍රදීප් තිලකරත්න,பிட்டகம்பொலகே அருண பிரதீப் திலகரத்ன,Sinhala
කලවිටගොඩ විදානලාගේ නාමල් නදුන් බණ්ඩාර,கலவிட்டகொட விதானலாகே நாமல் நதுன் பண்டார,Sinhala
පහල ආචාරිගේ සචින්තන ලක්ෂාන් කුමාරසිරි,பஹல ஆசாரிகே சசிந்தன லக்ஷான் குமாரசிறி,Sinhala
පුනගල මුදලිහාමිගේ චමෝදි ඉෂාරා සෙනෙවිරත්න,புனகல முதலிஹாமிகே சமோதி இஷாரா செனெவிரத்ன,Sinhala
ආරුමුගම් තර්සිනි,ஆறுமுகம் தர்ஷினி,Tamil
කනේසමූර්ති සතුර්සන්,கணேசமூர்த்தி சதுர்சன்,Tamil
මීරාලෙබ්බේ ෆොව්සියා,மீராலெவ்வை பௌசியா,Muslim
කන්දකුට්ටි සාරදා,கந்தக்குட்டி சாரதா,Tamil
නඩරාසා හේමලතා,நடராசா கேமலதா,Tamil
අබ්දුස්සලීම් මුහම්මඩ් ඉජාස්,அப்துஸ்ஸலீம் முகம்மட் இஜாஸ்,Muslim
මුහම්මදුතම්බි අන්වර් සදාද්,முகம்மதுத்தம்பி அன்வர் சதாத்,Muslim
ලිංගරත්නම් මේනුසා,லிங்கரத்னம் மேனுசா,Tamil
ඉලයතම්බි උදයකුමාර්,இளையதம்பி உதயகுமார்,Muslim
මහේස්වරන් වේජිනි,மகேஸ்வரன் வேஜினி,Tamil
කන්දෙ හේවායලාගේ පොඩිනෝනා,கந்தே ஹேவாயலாகே பொடினோனா,Sinhala
වෙදගේ ඉසුරු සඳමාලි,வெதகே இசுறு சந்தமாலி,Sinhala
